activation_function,batch_size,regularization,learning_rate,optimizer,best_val_accuracy,best_epoch
ReLU,64,,0.1,SGD,64.0,11
ReLU,64,,0.1,Adam,50.833333333333336,1
ReLU,64,,0.01,SGD,68.5,9
ReLU,64,,0.01,Adam,55.666666666666664,9
ReLU,64,,0.001,SGD,63.666666666666664,12
ReLU,64,,0.001,Adam,69.5,13
ReLU,64,L1,0.1,SGD,62.833333333333336,4
ReLU,64,L1,0.1,Adam,50.333333333333336,1
ReLU,64,L1,0.01,SGD,67.33333333333333,6
ReLU,64,L1,0.01,Adam,54.666666666666664,8
ReLU,64,L1,0.001,SGD,63.833333333333336,13
ReLU,64,L1,0.001,Adam,67.5,11
ReLU,64,L2,0.1,SGD,66.0,7
ReLU,64,L2,0.1,Adam,50.0,1
ReLU,64,L2,0.01,SGD,67.83333333333333,15
ReLU,64,L2,0.01,Adam,53.833333333333336,9
ReLU,64,L2,0.001,SGD,61.0,15
ReLU,64,L2,0.001,Adam,66.33333333333333,10
ReLU,128,,0.1,SGD,67.33333333333333,12
ReLU,128,,0.1,Adam,51.666666666666664,2
ReLU,128,,0.01,SGD,66.16666666666667,11
ReLU,128,,0.01,Adam,63.0,15
ReLU,128,,0.001,SGD,59.0,13
ReLU,128,,0.001,Adam,67.83333333333333,13
ReLU,128,L1,0.1,SGD,66.0,10
ReLU,128,L1,0.1,Adam,53.5,1
ReLU,128,L1,0.01,SGD,65.83333333333333,12
ReLU,128,L1,0.01,Adam,54.333333333333336,15
ReLU,128,L1,0.001,SGD,59.166666666666664,15
ReLU,128,L1,0.001,Adam,65.16666666666667,10
ReLU,128,L2,0.1,SGD,66.33333333333333,13
ReLU,128,L2,0.1,Adam,54.166666666666664,1
ReLU,128,L2,0.01,SGD,67.0,9
ReLU,128,L2,0.01,Adam,58.333333333333336,12
ReLU,128,L2,0.001,SGD,64.33333333333333,15
ReLU,128,L2,0.001,Adam,66.33333333333333,12
ReLU,256,,0.1,SGD,65.83333333333333,12
ReLU,256,,0.1,Adam,50.333333333333336,4
ReLU,256,,0.01,SGD,65.83333333333333,11
ReLU,256,,0.01,Adam,50.0,1
ReLU,256,,0.001,SGD,58.833333333333336,14
ReLU,256,,0.001,Adam,61.333333333333336,14
ReLU,256,L1,0.1,SGD,66.16666666666667,11
ReLU,256,L1,0.1,Adam,50.166666666666664,5
